observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_124937_box1,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_124937,seq_804,2021-07-27T12:49:37+00:00,2021-07-27T12:49:37+00:00,media,animal,,Episyrphus balteatus,1,adult,female,,,,,,0.816875,0.3858333333333333,0.13125,0.16666666666666666,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1307,463,210,200|imgSizePx:1600,1200|roiPx:730,402,590,470|croppedFile:media/cropped/img_crop_13847.jpg|deepestRank:species|conf_order:high|conf_family:high|conf_genus:high|conf_species:high|conf_species_sex:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_124938_box1,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_124938,seq_804,2021-07-27T12:49:38+00:00,2021-07-27T12:49:38+00:00,media,animal,,Episyrphus balteatus,1,adult,female,,,,,,0.770625,0.415,0.174375,0.2941666666666667,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1233,498,279,353|imgSizePx:1600,1200|roiPx:736,398,590,470|croppedFile:media/cropped/img_crop_13848.jpg|deepestRank:species|conf_order:high|conf_family:high|conf_genus:high|conf_species:high|conf_species_sex:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_124940_box1,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_124940,seq_804,2021-07-27T12:49:40+00:00,2021-07-27T12:49:40+00:00,media,animal,,Episyrphus balteatus,1,adult,female,,,,,,0.735,0.3375,0.15375,0.1725,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1176,405,246,207|imgSizePx:1600,1200|roiPx:732,400,590,470|croppedFile:media/cropped/img_crop_13849.jpg|deepestRank:species|conf_order:high|conf_family:high|conf_genus:high|conf_species:high|conf_species_sex:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_114647_box1,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_114647,seq_350,2021-07-20T11:46:47+00:00,2021-07-20T11:46:47+00:00,media,animal,,Bombus,1,adult,,,,,,,0.254375,0.4075,0.27,0.44916666666666666,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:407,489,432,539|imgSizePx:1600,1200|roiPx:585,178,445,448|croppedFile:media/cropped/img_crop_05441.jpg|deepestRank:morphospecies|conf_order:high|conf_genus:high|conf_morphospecies:high|morphospecies:red_yellow|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_114652_box1,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_114652,seq_350,2021-07-20T11:46:52+00:00,2021-07-20T11:46:52+00:00,media,animal,,Bombus,1,adult,,,,,,,0.35875,0.20666666666666667,0.35125,0.375,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:574,248,562,450|imgSizePx:1600,1200|roiPx:585,178,445,448|croppedFile:media/cropped/img_crop_05444.jpg|deepestRank:morphospecies|conf_order:high|conf_genus:high|conf_morphospecies:high|morphospecies:red_yellow|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_114656_box1,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_114656,seq_350,2021-07-20T11:46:56+00:00,2021-07-20T11:46:56+00:00,media,animal,,Bombus,1,adult,,,,,,,0.215625,0.13666666666666666,0.28125,0.3591666666666667,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:345,164,450,431|imgSizePx:1600,1200|roiPx:585,178,445,448|croppedFile:media/cropped/img_crop_05446.jpg|deepestRank:morphospecies|conf_order:high|conf_genus:high|conf_morphospecies:high|morphospecies:red_yellow|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_123646_box1,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_123646,seq_803,2021-07-27T12:36:45+00:00,2021-07-27T12:36:45+00:00,media,animal,,Araneae,1,adult,,,,,,,0.77625,0.4666666666666667,0.059375,0.0775,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1242,560,95,93|imgSizePx:1600,1200|roiPx:712,414,590,470|croppedFile:media/cropped/img_crop_13841.jpg|deepestRank:order|conf_order:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_123651_box1,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_123651,seq_803,2021-07-27T12:36:51+00:00,2021-07-27T12:36:51+00:00,media,animal,,Araneae,1,adult,,,,,,,0.7775,0.4925,0.059375,0.0775,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1244,591,95,93|imgSizePx:1600,1200|roiPx:712,414,590,470|croppedFile:media/cropped/img_crop_13844.jpg|deepestRank:order|conf_order:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-27_Trifolium-sp-01-EC_IMG_20210727_123705_box1,2021-07-27_Trifolium-sp-01-EC,2021-07-27_Trifolium-sp-01-EC_IMG_20210727_123705,seq_803,2021-07-27T12:37:05+00:00,2021-07-27T12:37:05+00:00,media,animal,,Araneae,1,adult,,,,,,,0.79,0.5466666666666666,0.035625,0.08916666666666667,human,Jared C. Cobain,,,"bboxFormat:normXYWH_fullFrame|bboxPx:1264,656,57,107|imgSizePx:1600,1200|roiPx:712,414,590,470|croppedFile:media/cropped/img_crop_13846.jpg|deepestRank:order|conf_order:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112107_box1,2021-07-20_Trifolium-sp-01-EC,2021-07-20_Trifolium-sp-01-EC_IMG_20210720_112107,seq_349,2021-07-20T11:21:07+00:00,2021-07-20T11:21:07+00:00,media,animal,,Formicidae,1,adult,,,,,,,0.325625,0.3491666666666667,0.0525,0.056666666666666664,human,Aspen Workman,,,"bboxFormat:normXYWH_fullFrame|bboxPx:521,419,84,68|imgSizePx:1600,1200|roiPx:585,178,445,448|croppedFile:media/cropped/img_crop_05406.jpg|deepestRank:family|conf_order:medium|conf_family:high|plant_genus:trifolium|plant_epithet:pratense|plant_folder:Trifolium-sp-01-EC|nBoxesInFrame:1",
